Dataset,Status,Model,#Problem,Accuracy,,,,Train Time,,,Average Memory,,
,,,,Original(%),AT(%),Improve(%),Ratio,Original(s),AT(s),Ratio,Original(MB),AT(MB),Ratio
CIFAR-10,Repaired,195,1,10.00,67.82,57.82,5.78,214.44,295.44,1.38,3589.40,2817.81,0.79
,,196,1,10.00,67.76,57.76,5.78,180.68,235.23,1.30,2904.98,3017.37,1.04
,,197,1,10.00,68.52,58.52,5.85,223.23,302.93,1.36,3025.79,2969.68,0.98
,,198,1,10.00,68.02,58.02,5.80,244.45,317.22,1.30,3619.88,2910.36,0.80
,,199,1,10.00,68.25,58.25,5.82,255.69,334.65,1.31,2861.67,3036.07,1.06
,,200,1,10.00,67.43,57.43,5.74,165.02,225.81,1.37,3029.03,3031.71,1.00
,,201,1,10.00,68.50,58.50,5.85,186.38,258.79,1.39,3033.26,2861.93,0.94
,,202,1,20.35,66.25,45.90,2.26,156.96,280.36,1.79,4196.81,3431.49,0.82
,,203,1,8.08,69.57,61.49,7.61,410.70,495.30,1.21,3677.52,3796.75,1.03
,,204,1,12.16,71.51,59.35,4.88,106.39,144.98,1.36,4445.87,3739.54,0.84
,,205,1,9.20,65.60,56.40,6.13,276.82,490.17,1.77,3754.27,3624.95,0.97
,,206,1,10.00,66.55,56.55,5.65,83.49,114.78,1.37,3748.03,4452.91,1.19
,,207,1,27.76,64.90,37.14,1.34,609.88,1226.80,2.01,3624.88,3624.88,1.00
,,208,1,11.69,70.34,58.65,5.02,130.37,235.79,1.81,3625.24,3627.49,1.00
,,209,1,23.96,44.32,20.36,0.85,686.60,1768.79,2.58,3627.28,3625.29,1.00
,,210,1,10.00,65.32,55.32,5.53,254.18,315.48,1.24,3627.62,3632.37,1.00
,,211,1,8.20,69.67,61.47,7.50,170.80,245.30,1.44,3625.12,3744.81,1.03
,,212,1,32.91,64.19,31.28,0.95,386.55,1032.43,2.67,4445.45,3742.31,0.84
,,213,1,8.12,65.44,57.32,7.06,93.24,129.31,1.39,3744.07,5034.64,1.34
,,214,1,10.00,68.53,58.53,5.85,632.30,762.98,1.21,3750.32,3630.38,0.97
,,215,1,9.23,53.72,44.49,4.82,710.74,1632.58,2.30,3632.67,3713.68,1.02
,,216,1,23.12,66.55,43.43,1.88,140.52,201.88,1.44,4455.06,3750.08,0.84
,,217,1,20.23,69.40,49.17,2.43,140.58,191.98,1.37,3761.63,4348.54,1.16
,,218,1,14.59,66.72,52.13,3.57,238.85,308.94,1.29,3768.30,3761.85,1.00
,,219,1,10.00,67.95,57.95,5.79,239.71,366.30,1.53,3643.41,3761.35,1.03
,,220,1,10.00,65.37,55.37,5.54,82.06,112.91,1.38,4463.75,3760.61,0.84
,,221,1,18.66,67.82,49.16,2.63,139.77,195.03,1.40,4479.48,3776.35,0.84
,,222,1,7.82,66.85,59.03,7.55,360.57,618.79,1.72,3774.36,3775.61,1.00
,,223,1,7.95,69.63,61.68,7.76,138.32,187.22,1.35,4359.55,3656.41,0.84
,,224,1,57.72,69.46,11.74,0.20,73.80,139.98,1.90,4359.05,3655.91,0.84
,,225,1,10.00,69.39,59.39,5.94,86.10,124.48,1.45,4477.99,3774.86,0.84
,,226,1,8.25,66.01,57.76,7.00,56.69,85.30,1.50,3778.36,3661.16,0.97
,,227,1,10.00,71.13,61.13,6.11,131.48,193.19,1.47,3774.63,3774.38,1.00
,,228,1,13.96,61.35,47.39,3.39,288.55,344.56,1.19,3664.96,3776.63,1.03
,,229,1,8.24,68.15,59.91,7.27,136.90,197.50,1.44,4479.47,3774.16,0.84
,,230,2,10.00,71.73,61.73,6.17,73.48,1180.53,16.07,4477.29,3774.16,0.84
,,231,1,7.78,66.19,58.41,7.51,91.30,131.01,1.43,3898.10,3780.91,0.97
,,232,1,10.00,65.58,55.58,5.56,317.07,397.52,1.25,2877.48,2801.03,0.97
